Timestamp,n-transactions
2016-01-08 00:00:00,181407
2016-01-11 00:00:00,191196
2016-01-14 00:00:00,183182
2016-01-17 00:00:00,204128
2016-01-20 00:00:00,209071
2016-01-23 00:00:00,190400
2016-01-26 00:00:00,230523
2016-01-29 00:00:00,224394
2016-02-01 00:00:00,222398
2016-02-04 00:00:00,200661
2016-02-07 00:00:00,212190
2016-02-10 00:00:00,235527
2016-02-13 00:00:00,184675
2016-02-16 00:00:00,215940
2016-02-19 00:00:00,217436
2016-02-22 00:00:00,237696
2016-02-25 00:00:00,216290
2016-02-28 00:00:00,233436
2016-03-02 00:00:00,270206
2016-03-05 00:00:00,234992
2016-03-08 00:00:00,200298
2016-03-11 00:00:00,189816
2016-03-14 00:00:00,191341
2016-03-17 00:00:00,208319
2016-03-20 00:00:00,178143
2016-03-23 00:00:00,186808
2016-03-26 00:00:00,159049
2016-03-29 00:00:00,197409
2016-04-01 00:00:00,211922
2016-04-04 00:00:00,208929
2016-04-07 00:00:00,218463
2016-04-10 00:00:00,186954
2016-04-13 00:00:00,223506
2016-04-16 00:00:00,182004
